"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Canada",1985,117.616,31.739,34.9950834852839,NA,34.9950834852839,34.9950834852839,34.9950834852839,37,37,37,0.6264874
"Canada",1986,124.58,32.488,34.3924613200066,34.3638777730651,34.3924613200066,34.3924613200066,34.3924613200066,37.6077626077626,37.6077626077626,37.6077626077626,0.6355957
"Canada",1987,148,33.451,33.9021044231442,NA,33.9021044231442,33.9021044231442,33.9021044231442,36.9532938212271,36.9532938212271,36.9532938212271,0.6349
"Canada",1988,170.916,33.163,33.3938940853298,NA,33.3938940853298,33.3938940853298,33.3938940853298,36.3990281387727,36.3990281387727,36.3990281387727,0.6372884
"Canada",1989,195.963,34.255,33.4938265314787,34.1309429187684,33.4938265314787,33.4938265314787,33.4938265314787,36.5082709193118,36.5082709193118,36.5082709193118,0.6432835
"Canada",1990,209.202,35.199,34.0246650966092,33.3894928700068,34.0246650966092,34.0246650966092,34.0246650966092,38,38,38,0.6519911
"Canada",1991,218.684,35.63,35.2611425417414,NA,35.2611425417414,35.2611425417414,35.2611425417414,38.4346453704981,38.4346453704981,38.4346453704981,0.6681767
"Canada",1992,210.06,35.184,35.5781248634333,NA,35.5781248634333,35.5781248634333,35.5781248634333,38.7798171552432,38.7798171552432,38.7798171552432,0.6710625
"Canada",1993,201.864,34.555,35.6817863642727,NA,35.6817863642727,35.6817863642727,35.6817863642727,38.8931471370573,38.8931471370573,38.8931471370573,0.6620535
"Canada",1994,202.233,34.511,34.3434170112734,NA,34.3434170112734,34.3434170112734,34.3434170112734,37.434324542288,37.434324542288,37.434324542288,0.6410086
"Canada",1995,211.206,34.74,33.9215422400162,NA,33.9215422400162,33.9215422400162,33.9215422400162,36.9744810416176,36.9744810416176,36.9744810416176,0.6279784
"Canada",1996,223.294,35.056,34.148917444112,NA,34.148917444112,34.148917444112,34.148917444112,36,36,36,0.6261746
"Canada",1997,236.706,35.912,32.4227304911986,28.8832353570782,32.4227304911986,32.4227304911986,32.4227304911986,33.7,33.7,33.7,0.6297183
