"Specification","break_year","PG","SR","DE","IE","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","United States",2070,3,3,2.80357441480813,1.83421248779415,1.10537333102076,0.723180221906701,0.807877912939298,1.53565149865467,1,1,5.44212277509765,4.95860038367962,5.6,0.218072038391295,2.72453503116221,25.5606935820681,3.04156900353093,116.047428364124,0.0281923615897054,0.600108128778468,0.0646485883464901,19.2238317676851,3.26181543881292,23.3862472584064,15.2573961745084,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_TPG.TSR.TDE.TIE",1970,"TPG","TSR","TDE","TIE","United States",2080,4,3,2.83511585119552,1.92091613461196,1.08117670392698,0.732544941351919,0.844757600054696,1.50658307740546,1,1,5.79717188185585,5.48503974740921,5.897,0.219635753814807,2.78712123017712,25.9937541901934,2.96620828270927,121.199316868671,0.0169286278012796,0.597757033845303,0.0598941597502251,19.6182002165627,3.28882820434508,24.9319899676294,16.4356538943545,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,0.673171479754239,0.00361584874456317,1.006,0.150445505257571,0.99403578528827,14.8020606950988,5.4510062212543,20.1647842481915,0.330843459488828,0.729676938063784,0.337671927463878,8.43446792030892,4.87437724145944,3.89956054976455,1,0.66897175856968,0.5,0.270248830318451,1.06714019830336,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",1980,2,1,1.32012254940728,0.516253298645703,1.13420764298084,0.443548545777756,0.612781620210724,3.66932515534639,1,1,1.33009119180911,0.00764338061692355,1.981,0.155907953410494,0.886362127751244,17.6212432438978,3.43890262851693,21.6571146091988,0.328575874907062,0.721185759835681,0.336834544597418,9.99881373058489,5.72930901285098,4.27250591848848,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1.06714019830336,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",1990,3,1,1.46801294480825,0.628505945581033,1.13420764298084,0.485592616644142,0.666510958052407,3.43706681845696,1,1,1.71384091001505,0.412874131259479,3.239,0.165851652908717,0.776764631443048,19.1544043703975,3.0175169103154,22.4703572815866,0.470873445503227,0.662137395718009,0.428179626005658,9.27897103783449,5.10301631977501,4.60158366885905,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2000,4,1,1.49929155461176,0.693625743497129,1.13420764298084,0.52472490572151,0.683436019881079,3.20564925646149,1,1,2.15758319904464,0.533107638696181,4.055,0.173827487356943,0.797742606337818,20.2644777800284,2.71112330142483,24.935904415914,0.467920296166549,0.648295608239407,0.424975532023971,9.79330821026611,5.37273047541181,5.0721911151216,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2010,1,2,1.68487180026539,0.866702399553922,1.13420764298084,0.583439336814264,0.685327857682168,2.88555261409393,1,1,2.31445534856143,0.784032244946159,3.789,0.171391582393864,1.02917934805082,19.9178985002886,2.79954447045903,31.4160829673829,0.389164595259585,0.652503044837007,0.377730017834245,10.4421024025531,5.79205717156165,6.1620857856919,3.89956054976455,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2020,2,2,1.83605681173985,0.991971686013303,1.13420764298084,0.612781620210724,0.707316362457828,2.77509088420604,1,1,2.32700093546662,0.904670596910526,3.583,0.169402409305795,1.19243815754632,19.6398595744657,2.8750063857493,35.7027997642504,0.35054397558844,0.655951861481025,0.35611240452591,10.6752463306321,5.89071470309102,7.05026836074193,4.27250591848848,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2030,3,2,1.99890735007308,1.17464704210048,1.13420764298084,0.666510958052407,0.742598301973306,2.59226018783591,1,1,2.30204950153934,1.16149876361308,3.151,0.164891830989142,1.46035660706412,19.0255202134159,3.0578602543506,41.8550439545668,0.269422563776787,0.663815911330859,0.313235048565511,11.0798288351378,6.08133032155017,8.31343183651223,4.60158366885905,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2040,4,2,2.06379449722359,1.24357431883289,1.13420764298084,0.683436019881079,0.773731138264388,2.56324062031965,1,1,2.45770163741845,1.21044724606207,3.405,0.167603292726393,1.48963028344247,19.392167701438,2.94592112708034,43.8294352362829,0.278208036000455,0.659081279827753,0.318204700810741,11.1812710521895,6.05259091420862,8.906962192185,5.0721911151216,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2050,1,3,2.23806479656932,1.35231689001468,1.13420764298084,0.685327857682168,0.800578416558011,2.58641573531306,1,1,2.75330982156443,1.17115135315445,4.083,0.17407586304006,1.50920543367423,20.3001992423122,2.70234431808493,47.2892485116835,0.325664995943074,0.647867580166721,0.343453207746495,11.1986532485022,5.97448784447621,9.86226479557393,6.1620857856919,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2060,2,3,2.08373541254644,1.29946237044693,1.13420764298084,0.707316362457828,0.819853976974278,2.52705531314429,1,1,3.38347580901652,1.27522310343603,5.32,0.183811466203728,1.32523841367329,21.7584005110137,2.38935267324573,45.6806457321225,0.364008306575842,0.631231623702886,0.364348038765391,11.5084822560061,6.09059916567493,9.58393171366019,7.05026836074193,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2070,3,3,2.10750107475048,1.37984145072725,1.13420764298084,0.742598301973306,0.858609575026038,2.44729229849251,1,1,3.94468687874644,1.43436216886724,6.325,0.190368790078798,1.31437657494264,22.8077764753247,2.20842418715286,48.3375910716949,0.376334090316769,0.620179997824694,0.371084707185609,11.8576598576898,6.18385560230762,10.3094936151612,8.31343183651223,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","France",2080,4,3,2.05955858067801,1.40498489391427,1.13420764298084,0.773731138264388,0.897365173077799,2.38749941343526,1,1,4.32469475534549,1.57053726413891,6.952,0.194013773545455,1.28120860071706,23.4160110544622,2.11669592296027,48.854125315622,0.377920777424412,0.614089282402308,0.372041560764434,12.1111310796382,6.22716047479315,10.6031753584437,8.906962192185,0.66897175856968,0.5,0.270248830318451,1.375,NA,0.982570839854923,0.739004473921546,20.253
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","United States",1970,1,1,1.5292795645603,0.45598255062876,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,0.653902676249728,0.142415238128972,1,0.170099987957235,1,15.4236029171944,7.41639708280562,22.84,0.346097323750272,0.67528909444809,0.25721,9.66447791345474,1.66555877459957,4.52187627888963,1,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","United States",1980,2,1,1.61685139523777,0.54880284102489,1.59727372629601,0.542157653738335,0.634152212887378,2.73663692213898,1,1,0.879351379339163,0.234699303723093,1.276,0.176387542516,1.11424804434858,16.4620332406724,6.49662697712554,27.5795659260832,0.310853150988117,0.665086187127875,0.229360558104128,10.6348304568535,1.78673129222833,5.8026647380549,1.42178050458879,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.TSR.TDE.TIE",1970,"FPG","TSR","TDE","TIE","United States",1990,3,1,1.94331735642994,0.607457287161162,1.59727372629601,0.499288271891971,0.668439713869851,3.01946530001057,1,1,0.96799115602976,0.139634811938618,1.665,0.183441654365241,1.12979820683682,17.7168100518991,5.63526086126709,30.6169884083395,0.418623930312456,0.653768422959983,0.305265355110948,10.2455856315105,1.66485076439852,6.87238017990487,1.88111401438331,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
