"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","Y","u","theta","tau","b","h","S","K","phi","sigma","a","alpha","gamma","omega","beta","A"
".cst","United States",2080,4,3,2.36513389415592,1.60248261314822,1.08117670392698,0.732544941351919,0.844757600054696,1.2110845382678,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8935535901305,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
"0","France",1970,1,1,1.16751885800966,0.42950805111709,1.13420764298084,0.417253486705376,0.583439336814264,3.10627096549067,1,1,0.856517214381237,0.586335058868841,1.00002024928516,0.108159339510599,0.999979751124866,18.8108718328628,25.7766191017739,0.143500129128887,0.729750121984518,0.337492568399902,11.1847601239792,15.8915127334148,4.02458226418648,1,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.389676067298862,1.21664301518181,1.4789934625572,25.777
"0","France",1980,2,1,1.34186891238396,0.427936554382909,1.39082300545825,0.443548545777756,0.612781620210724,3.63384332491213,1,1,1.30853569888263,0.322457638590344,2.31434727497103,0.126786149337251,0.75869485710488,22.5466728245533,25.0009821758215,0.434598379839513,0.684214907899026,0.481957278605779,10.2892925138357,14.1351722088968,4.32111015667218,1.75588337507522,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.376099746438989,1.21664301518181,1.4789934625572,25.777
"0","France",1990,3,1,1.42926663692941,0.509709292390284,1.36164150128402,0.485592616644142,0.666510958052407,3.33241353308579,1,1,1.7603018053015,0.448556502980203,3.05181779795337,0.115332383465177,0.824407224746934,24.0860739038677,29.7109875050015,0.423195642124505,0.668329631884315,0.48118558365752,11.134990022237,14.8347213931853,5.25385952434706,2.51594064124403,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.305390864199922,1.21664301518181,1.4789934625572,25.777
"0","France",2000,4,1,1.50822793488699,0.574934411325022,1.37651312106404,0.52472490572151,0.683436019881079,3.14198778800309,1,1,2.14479933296173,0.561333051715821,3.67002556871899,0.110729707458426,0.881423360172655,25.2164572932897,33.8035352748745,0.415590084373619,0.657516272732043,0.480545010611047,11.7258056804686,15.4701673780982,5.92846855462191,3.23484626869985,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.274557808674484,1.21664301518181,1.4789934625572,25.777
"0","France",2010,1,2,1.55084965813462,0.681176428235305,1.32832942910956,0.583439336814264,0.685327857682168,2.72924753431863,1,1,2.59508214937307,0.960162637608215,3.88263255980056,0.113870940385441,1.03656016947254,25.579542757216,40.5311591960511,0.331617888274658,0.654181516181095,0.444785594363825,12.673599587999,16.8969098233014,6.67651125322889,4.02458226418648,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2020,2,2,1.52288303599933,0.822272606241044,1.13489702454898,0.612781620210724,0.707316362457828,2.24254828542553,1,1,2.83745373382312,2.02992330390592,3.25494489577079,0.109487002498132,1.32755247632201,24.4709841166079,48.8833924338677,0.128263665074676,0.664571625342675,0.368582858020829,13.8489932069305,18.6221075379748,7.45737464885628,4.32111015667218,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2030,3,2,1.50691375131699,0.95262187549216,1.05432654228493,0.666510958052407,0.742598301973306,1.94608526538289,1,1,3.48650313911819,3.48496555771944,3.48713622434343,0.111183237927507,1.50664017300795,24.89432249221,56.7828759881297,0.000181548750752714,0.660529881480811,0.334301702559001,14.8283043325378,19.9224434215287,8.2882416911155,5.25385952434706,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2040,4,2,1.50513231287981,1.03077729689262,0.997947510495219,0.683436019881079,0.773731138264388,1.82139948960003,1,1,3.9388354790409,4.48546746390867,3.9388354790409,0,1.50513231287981,25.6736078674593,59.146669316098,0,0.653328027365374,0.329230778119162,17.2210659721294,18.8914754145232,8.8404429566393,5.92846855462191,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2050,1,3,1.50991093243198,1.06284047379652,0.973602389188466,0.685327857682168,0.800578416558011,1.79303224331069,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67651125322889,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2060,2,3,1.53037956973227,1.07716008947178,1.00492259323647,0.707316362457828,0.819853976974278,1.8082375892507,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45737464885628,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2070,3,3,1.52358967589863,1.11903159294822,1.01106627673088,0.742598301973306,0.858609575026038,1.76186895524643,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2882416911155,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","France",2080,4,3,1.51826759521563,1.16456773768301,1.00872699511094,0.773731138264388,0.897365173077799,1.7148457109274,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8404429566393,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.280109729856473,1.21664301518181,1.4789934625572,25.777
"0","United States",1970,1,1,1.19312415621366,0.355751694179942,1.59727372629601,0.476256248136138,0.560957405255052,2.43878974382352,1,1,0.838135742028278,0.419033570002965,1.00003047072448,0.111862681245968,0.99996953020396,22.2847202221773,32.9993209918639,0.161889795796835,0.675287870825935,0.257212799077149,14.8009725290559,15.8227536189493,5.29667411785236,1,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.286885107000815,1.89125716076725,0.707284520178955,33
"0","United States",1980,2,1,1.41143770747551,0.434438641680041,1.76140352737387,0.542157653738335,0.634152212887378,2.44659897030626,1,1,1.00732784525912,0.411782220383316,1.25997783152557,0.0984380065513542,1.12841707926504,23.7140935113288,40.1828279197682,0.200519390059854,0.665940888752316,0.279353357629118,15.4873749418284,15.7489704106292,7.04969107796741,1.42178050458879,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.234871680532634,1.89125716076725,0.707284520178955,33
"0","United States",1990,3,1,1.61948865418536,0.502449645934745,1.60929895769471,0.499288271891971,0.668439713869851,2.46634324445391,1,1,1.16154812787469,0.394100685460597,1.51138543235623,0.0760915536939193,1.24462891735742,24.9348891117896,47.1302153294827,0.231467961111777,0.658488059574384,0.298414839582884,16.2121903337369,15.8962361895714,8.60574584370256,1.88111401438331,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.167876341353035,1.89125716076725,0.707284520178955,33
"0","United States",2000,4,1,1.83186461476798,0.53861576068192,1.70356699419654,0.500892929015935,0.644116777375506,2.57318955780572,1,1,1.29079090677946,0.312635361831514,1.81493829419617,0.0662825286764908,1.3028289693126,26.2559167123208,52.5524791015547,0.288796257753133,0.650910660990271,0.330775945600099,16.4441940236542,16.121940357176,9.5134320785397,2.36455418719356,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.138686463920691,1.89125716076725,0.707284520178955,33
"0","United States",2010,1,2,1.97721297514694,0.669291830816739,1.65717286407272,0.560957405255052,0.647220327049491,2.23833498717406,1,1,2.67885866845413,0.669330699382034,3.73958146228353,0.0668180180291326,1.41638153126848,32.5583466643911,74.3480237090347,0.283647462831758,0.62025913539483,0.332582694930338,20.3254939917725,19.9131220960562,12.7438146736242,5.29667411785236,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2020,2,2,2.03832140852277,0.895066345548283,1.4441454962745,0.634152212887378,0.687350319801348,1.75778418456747,1,1,3.45857677228467,2.50466950893055,3.74034198145943,0.0668203029197967,1.88477179704748,32.5604004675978,98.9421822310042,0.0753314030031063,0.620250363577179,0.24003991417809,23.1451943561573,22.5638439327577,15.809589313808,7.04969107796741,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2030,3,2,2.09787643150285,1.08253053261913,1.29539433702185,0.668439713869851,0.723180221906701,1.52041017818388,1,1,4.10212237216359,5.53063437345715,4.10212237216359,0,2.09787643150285,33.5114576262314,114.079997972355,0,0.616259628233985,0.192634738381939,27.0559867536049,20.300370199118,18.5065728668004,8.60574584370256,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2040,4,2,2.18755536034529,1.17993473225257,1.19416868621722,0.644116777375506,0.732544941351919,1.46066919786206,1,1,4.34888746177289,6.88386920962376,4.34888746177289,0,2.18755536034529,34.1328024569345,121.662320402698,0,0.613726540239635,0.182803867987724,27.893194142546,18.8487906576974,20.0677171259633,9.5134320785397,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2050,1,3,2.25820481119575,1.2796924284211,1.14211510827655,0.647220327049491,0.747184873752377,1.39943808840349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7438146736242,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2060,2,3,2.28827214721836,1.40104087200606,1.1226257731732,0.687350319801348,0.770998225823901,1.3090050488076,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.809589313808,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2070,3,3,2.31893665916025,1.51714274326707,1.10537333102076,0.723180221906701,0.807877912939298,1.24496963974646,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5065728668004,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
"0","United States",2080,4,3,2.36513389415592,1.60248261314822,1.08117670392698,0.732544941351919,0.844757600054696,1.2214035494178,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0677171259633,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.122115824504624,1.89125716076725,0.707284520178955,33
