"countrycode","year","v_c","v_i","v_g","v_x","v_m","v_gdp","q_c","q_i","q_g","q_x","q_m","q_gdp","pop","xr","xr2","v_gfcf","q_gfcf","emp","avh"
"CHL",1986,2521520.615029,764941.97849,496827.094424,1044873.37117,910588.034841,3937405.503406,15566209.1816083,3214798.25607724,6038155.45942025,8030949.15485449,3110941.4915189,31471841.348614,12.384108,192.929999999667,192.929999999667,718606.816646,2972572.63697917,3.70947599411011,2399.47801861054
"CHL",1987,3273252.156958,1196492.849083,570669.500838,1443712.254462,1272717.93399,5228697.685026,16691351.9429785,4077747.87239156,5882642.91888797,8572256.53942757,3689881.22062702,33547179.9303461,12.594145,219.406666666667,219.406666666667,1081063.509787,3617991.22082817,3.85126328468323,2405.06600859279
"CHL",1988,3993165.458956,1596232.839038,708388.158586,2148921.993736,1671544.028503,6814760.180816,17864604.1560651,4551007.65832902,6093909.54104842,9562840.85238959,4161938.47540167,35999911.377307,12.809025,245.011666666667,245.011666666667,1473381.681401,4130034.70443287,4.0810112953186,2410.6670120854
"CHL",1989,4980495.017672,2190892.069085,856744.003525,2772090.021518,2351256.438081,8468219.706708,19677101.4206417,5762622.55281266,6323045.41260108,11103510.4877886,5204021.88926833,39801585.1238037,13.025797,266.954166666667,266.954166666667,2125673.25676,5368965.67972128,4.29634523391724,2416.28105939468
"CHL",1990,6441989.561483,2750437.545888,1041626.632624,3362596.630141,2965450.158266,10646701.717081,20108394.7443177,6071865.58957999,6375444.34171601,12060319.7560247,5506312.23182988,41273277.19343,13.242132,304.903333333333,304.903333333333,2623669.08174,5504095.65448227,4.38070297241211,2422.38586247552
"CHL",1991,8628501.841393,3232872.557148,1350838.461153,4214571.077779,3550965.640125,13934356.413668,21892051.1653674,6113756.58795615,6603485.34857881,13559825.8035935,5889134.75533362,44562720.3485827,13.457244,349.215833333333,349.215833333333,2957713.716068,5494321.00210501,4.44700813293457,2418.90513685113
"CHL",1992,11143396.378351,4282599.632,1696663.695887,4889705.754524,4549591.600341,17486859.43235,24910987.5555385,7445520.4782188,6972805.98296953,15448276.9983205,7173428.3234689,50034137.290127,13.671033,362.575833333333,362.575833333333,4175411.393021,6814355.48627525,4.6533727645874,2415.42441122673
"CHL",1993,13343102.246316,5643879.524355,2082995.709032,5192812.674661,5506843.797298,20699096.521757,26761405.6744324,9017041.67842716,7273472.72265856,15994252.2451653,8190719.68214349,53529659.8616531,13.882668,404.165833333333,404.165833333333,5493012.343324,8037941.82314495,4.91504859924316,2389.40075478348
"CHL",1994,15575808.979061,6107813.473387,2458382.160504,6586205.480483,6125898.218503,24637721.521376,28949509.5571348,9086844.21288228,7414457.80455029,17854001.4770505,9019542.1058311,56585193.3152475,14.091389,420.176666666667,420.176666666667,6107096.627855,8535174.09987303,4.94260454177856,2363.65747585547
"CHL",1995,18231716.32385,7906277.363753,2937470.214965,8304229.114233,7605138.141243,29797309.814762,31791385.2001027,12195250.3215186,7723981.78847147,19815016.1560894,11272717.2038349,62598828.4638402,14.296613,396.773333333333,396.773333333333,7574621.770935,10540917.1756351,4.98869657516479,2338.19155366999
"CHL",1996,20736594.591507,9001542.143092,3370281.30782,8484033.425504,8936956.920488,32552561.714091,34789822.1367133,12909503.253324,8031443.09500357,22150209.0055097,12606611.9953445,67239597.4708739,14.497826,412.266666666667,412.266666666667,8632508.054843,11481034.6793753,5.06241798400879,2313
"CHL",1997,23028787.941878,10130085.904716,3797630.248811,9363920.848542,10015702.188673,36184662.224238,37082864.5831653,14117321.7776837,8494917.2053097,24631017.7143452,14268742.1202951,71681165.0701153,14.694835,419.295,419.295,9861745.832642,12691983.0269459,5.1742696762085,2256
"CHL",1998,24843607.090471,10342060.660376,4128795.895933,9567487.267463,10669402.61371,38073205.009851,38815129.3158535,14421873.3121746,8686030.13552391,25919435.8650727,15227575.2024854,73997094.8825994,14.887756,460.2875,460.2875,9999547.609957,12929941.6144979,5.28334522247314,2299
"CHL",1999,25078760.011553,8169419.126459,4528881.017036,10945193.469439,10023916.188194,38702292.008322,38445450.1544379,11519358.9774433,8921166.83385438,27817088.0169238,13776349.3500031,73434082.2767047,15.076952,508.776666666667,508.776666666667,8108078.160225,10571906.95755,5.21836042404175,2277
"CHL",2000,27142770.279429,9332474.150909,4971587.805982,12765303.800174,11916091.379305,42283777.437166,39860522.33012,13127029.6247801,9184693.99960514,29229097.4641865,15161429.6621335,76730597.3626913,15.262754,539.5875,539.5875,8810564.695012,11508061.5792309,5.3049488067627,2263
"CHL",2001,29107714.510719,10119824.29211,5391543.102004,14438874.428339,13663580.267897,45369904.101187,41000823.1803882,13235355.4567001,9454145.80929276,31342889.4590778,15780793.2957996,79321812.6562248,15.444969,634.938333333333,634.938333333333,9906274.658243,12005845.8672562,5.36910915374756,2242
"CHL",2002,30648259.505882,10561622.968789,5847155.323139,15705927.571902,14473765.48322,48293089.178168,41968550.5305023,13525156.435764,9745085.19704823,31845600.41784,16136091.3913061,81054294.236868,15.623635,688.936666666667,688.936666666667,10348777.505684,12191190.1837228,5.47143936157227,2250
"CHL",2003,32875705.71352,11410911.14786,6114790.537525,18607453.244655,16403026.022854,52604449.593509,43843347.5482603,14477850.2402224,9824984.89874485,33994290.3473373,17688298.3568441,84111971.2437736,15.799542,691.3975,691.3975,11248411.216592,12981520.5525011,5.68797206878662,2235
