"countrycode1","countrycode2","year","cor_exp"
"DEU","KEN",1975,0.433176832269448
"DEU","KOR",1975,0.252568001699141
"DEU","LKA",1975,0.0998383068578529
"DEU","LUX",1975,0.821924799649751
"DEU","MEX",1975,0.483026045996135
"DEU","MWI",1975,0.183295435177305
"DEU","MYS",1975,0.567192241403058
"DEU","NLD",1975,0.83917652042689
"DEU","PAK",1975,0.187385724303131
"DEU","PHL",1975,0.197357623121588
"DEU","POL",1975,0.340655111399284
"DEU","ROU",1975,0.250015392609049
"DEU","SYR",1975,0.384249415294469
"DEU","THA",1975,0.143333621237643
"DEU","URY",1975,0.475880666223362
"DEU","USA",1975,0.772845210999188
"DEU","YUG",1975,0.472935128184406
"DEU","ZMB",1975,0.403827809818054
"DNK","AUT",1975,0.804275152006883
"DNK","BEL",1975,0.833060529489968
"DNK","BRA",1975,0.505046333903184
"DNK","COL",1975,0.29434619535265
"DNK","DEU",1975,0.834768017606017
"DNK","DNK",1975,1
"DNK","ESP",1975,0.576174734149845
"DNK","FRA",1975,0.765671818207832
"DNK","GBR",1975,0.845329188912831
"DNK","HUN",1975,0.376653991527005
"DNK","IND",1975,0.047167204303741
"DNK","IRL",1975,0.719246675021463
"DNK","IRN",1975,0.454648163613566
"DNK","ITA",1975,0.702491015522319
"DNK","JAM",1975,0.609922129332354
"DNK","JPN",1975,0.542159582439712
"DNK","KEN",1975,0.451282098553257
"DNK","KOR",1975,0.207635970363517
"DNK","LKA",1975,0.0890378728452644
"DNK","LUX",1975,0.790141538073557
"DNK","MEX",1975,0.415925369659472
"DNK","MWI",1975,0.152938001837216
"DNK","MYS",1975,0.562264242305958
"DNK","NLD",1975,0.811211099910502
"DNK","PAK",1975,0.152157091033386
"DNK","PHL",1975,0.138463019890462
"DNK","POL",1975,0.247252990995313
"DNK","ROU",1975,0.173646885505603
"DNK","SYR",1975,0.392084185048098
"DNK","THA",1975,0.156576541691706
"DNK","URY",1975,0.517782895254591
"DNK","USA",1975,0.69383290321878
"DNK","YUG",1975,0.398656444144492
"DNK","ZMB",1975,0.41406331400087
"ESP","AUT",1975,0.608415692713959
"ESP","BEL",1975,0.675988924469291
"ESP","BRA",1975,0.601756898765578
"ESP","COL",1975,0.32075998241887
"ESP","DEU",1975,0.687830963164508
"ESP","DNK",1975,0.576174734149845
