"Country","Year","total","child","young","old","young_1564","dep","young_prop","young_prop_mean5059","young.40y_before","n","p"
"South Korea",2022,51817.23,9192.165,29758.663,12866.402,36100.204,0.432358201038803,0.574300536713367,0.423488144068169,19544.463,1.52261348904802,0.658314429002219
"South Korea",2023,51959.108,9156.517,29441.196,13361.395,35765.498,0.453833295359333,0.566622429314991,0.423488144068169,20094.251,1.46515518294262,0.664936204887657
"South Korea",2024,52093.053,9133.793,29098.777,13860.483,35407.975,0.476325276488424,0.558592275250214,0.423488144068169,20655.606,1.40875929759698,0.67102766193352
"South Korea",2025,52219.34,9118.355,28733.664,14367.321,35040.843,0.500017018365636,0.550249466959942,0.423488144068169,21248.622,1.35226011362054,0.676153070067321
"South Korea",2026,52337.651,9119.317,28370.359,14847.975,34691.315,0.523362252835785,0.542064048690301,0.423488144068169,21775.595,1.30285115056558,0.681863113269694
"South Korea",2027,52446.826,9128.983,27992.162,15325.681,34336.886,0.5474990106159,0.53372461471739,0.423488144068169,22362.977,1.25171894600616,0.68531488450755
"South Korea",2028,52545.244,9142.152,27602.943,15800.149,33976.062,0.572408130538834,0.525317629127386,0.423488144068169,22985.216,1.20089987407558,0.687404851883924
"South Korea",2029,52630.834,9152.644,27206.149,16272.041,33604.495,0.598101590930786,0.516924147544384,0.423488144068169,23592.76,1.15315668874689,0.68970485013199
"South Korea",2030,52701.817,9156.426,26803.693,16741.698,33218.793,0.624604154360371,0.508591440025683,0.423488144068169,24158.997,1.10947043869412,0.692979845148373
"South Korea",2031,52757.653,9177.674,26411.939,17168.04,32842.714,0.650010588014761,0.500627634060977,0.423488144068169,24777.608,1.0659599990443,0.692885285778998
"South Korea",2032,52797.74,9186.277,26022.26,17589.203,32467.36,0.675929108386435,0.492866929531453,0.423488144068169,25308.785,1.02819080410221,0.69498409346794
"South Korea",2033,52820.366,9182.373,25640.113,17997.88,32089.272,0.701942304232435,0.485420964330311,0.423488144068169,25779.608,0.994588940219727,0.698144052461931
"South Korea",2034,52823.536,9167.232,25273.125,18383.179,31703.812,0.727380527734501,0.47844440023856,0.423488144068169,26240.93,0.963118494657011,0.700553638914475
"South Korea",2035,52805.846,9140.149,24925.466,18740.231,31308.999,0.751850777835006,0.472020957679572,0.423488144068169,26712.499,0.933101242231212,0.701552894770347
"South Korea",2036,52766.651,9112.841,24627.223,19026.587,30945.26,0.77258353489551,0.466719462639386,0.423488144068169,27050.859,0.910404471813631,0.703363505018455
"South Korea",2037,52706.283,9073.041,24356.135,19277.107,30577.85,0.791468227614931,0.462110655763754,0.423488144068169,27437.161,0.887706093206946,0.702591168233477
"South Korea",2038,52625.667,9020.567,24099.462,19505.638,30212.835,0.809380640945428,0.4579412171631,0.423488144068169,27842.488,0.865564241241659,0.700570940355617
"South Korea",2039,52526.273,8956.774,23836.86,19732.639,29860.456,0.827820400841386,0.453808325597363,0.423488144068169,28226.628,0.844481317428352,0.6990788626966
"South Korea",2040,52409.408,8883.517,23555.552,19970.339,29525.573,0.847797538346798,0.449452739477614,0.423488144068169,28578.798,0.824231725910936,0.698781628254624
"South Korea",2041,52275.571,8815.562,23291.171,20168.838,29252.949,0.865943494210746,0.445545989349404,0.423488144068169,28990.273,0.80341330348976,0.695710523319321
"South Korea",2042,52125.133,8746.102,23006.874,20372.157,29001.714,0.885481313106683,0.441377751496576,0.423488144068169,29366.753,0.78343267980631,0.693714998045579
"South Korea",2043,51959.235,8671.195,22718.697,20569.343,28759.919,0.905392725647954,0.437240790785315,0.423488144068169,29697.975,0.764991451437345,0.692617695314243
"South Korea",2044,51779.192,8586.524,22451.059,20741.609,28507.435,0.923858825545824,0.433592300938184,0.423488144068169,29976.841,0.748946795294407,0.691921106697
"South Korea",2045,51586.184,8490.921,22215.549,20879.714,28229.821,0.939869368071885,0.4306492025074,0.423488144068169,30194.757,0.735741936919711,0.691501309316713
"South Korea",2046,51381.157,8416.921,22035.867,20928.369,27966.826,0.949741119784395,0.428870587713702,0.423488144068169,30338.109,0.726342798755189,0.689837623037085
"South Korea",2047,51164.855,8334.743,21892.997,20937.115,27685.26,0.95633845836639,0.427891313285262,0.423488144068169,30390.581,0.720387576663967,0.688934344493118
"South Korea",2048,50938.159,8246.893,21763.394,20927.872,27392.829,0.961608837298079,0.427251287193163,0.423488144068169,30396.761,0.715977402987114,0.688490198018137
"South Korea",2049,50701.864,8157.654,21611.649,20932.561,27106.039,0.968577686968727,0.42624959508392,0.423488144068169,30414.23,0.71057689114602,0.68824892163964
"South Korea",2050,50456.832,8069.686,21415.748,20971.398,26833.658,0.979251250061403,0.424437031639244,0.423488144068169,30475.972,0.702709268797071,0.688128929899266
"South Korea",2051,50203.896,8005.718,21205.857,20992.321,26608.302,0.989930329153875,0.422394648415334,0.423488144068169,30565.204,0.69379078902925,0.686804544147652
"South Korea",2052,49943.942,7943.884,20964.563,21035.495,26409.377,1.00338342373271,0.419761880229638,0.423488144068169,30720.734,0.682423896512368,0.684732825719597
"South Korea",2053,49677.931,7887.019,20702.108,21088.804,26217.652,1.01867906398711,0.416726453442677,0.423488144068169,30896.493,0.670047179788334,0.682563033933983
"South Korea",2054,49406.883,7836.593,20433.771,21136.519,26000.315,1.03439149827019,0.41358146394299,0.423488144068169,31025.924,0.658603141037798,0.681253489823541
"South Korea",2055,49131.721,7791.792,20165.814,21174.115,25732.861,1.0500005107654,0.410443875963555,0.423488144068169,31069.696,0.649050895123016,0.681503771391907
"South Korea",2056,48853.082,7772.008,19925.788,21155.286,25461.479,1.06170385833674,0.407871667134532,0.423488144068169,31042.907,0.641878932279119,0.681485338985808
"South Korea",2057,48571.682,7762.099,19694.7,21114.883,25160.356,1.07210990774168,0.405477002011172,0.423488144068169,30938.32,0.636579491064802,0.682483179435731
"South Korea",2058,48288.513,7758.034,19472.355,21058.124,24835.841,1.08143693970247,0.403250251255407,0.423488144068169,30767.084,0.632895694632615,0.684436783154364
"South Korea",2059,48004.663,7755.368,19261.337,20987.958,24505.297,1.08964180420082,0.401238875481742,0.423488144068169,30553.442,0.630414635444347,0.68692614076018
"South Korea",2060,47720.971,7751.193,19063.233,20906.545,24180.809,1.09669461628046,0.399472864875277,0.423488144068169,30311.843,0.628903791828164,0.689715402656315
"South Korea",2061,47438.117,7766.566,18910.703,20760.848,23904.115,1.09783586575285,0.398639410582001,0.423488144068169,30049.763,0.629312883432725,0.690882254212788
"South Korea",2062,47156.31,7783.9,18783.464,20588.946,23644.988,1.09612082201664,0.39832344812391,0.423488144068169,29758.663,0.631193141976842,0.691863945634922
